"TOA5","CR1000X","CR1000X","23029","CR1000X.Std.04.02","CPU:144937 Texas A&M.CR1X","26106","Table10"
"TIMESTAMP","RECORD","AWS","AWD","SIG","Gust","AvgAT","AvgRH","AvgBP","AvgSR","RNTtl","RNDAY","LTemp","Batt"
"TS","RN","m/sec","Deg","Deg","m/sec","Deg_C","%RH","mbar","Wm2","Inch","Inch","Deg_C","Vdc"
"","","WVc","WVc","WVc","Max","Avg","Avg","Avg","Avg","Tot","Smp","Max","Min"
"2012-12-11 15:50:00",0,0,0,0,0,-51.33,"NAN","NAN",0.003,0,0,25.25,12.03
"2012-12-11 16:00:00",1,0,0,0,0,-51.33,"NAN","NAN",0.002,0,0,25.15,12.03
"2012-12-11 16:10:00",2,0,0,0,0,-51.33,"NAN","NAN",0.003,0,0,24.92,12.03
"2012-12-11 16:20:00",3,0,0,0,0,-51.33,"NAN","NAN",0.003,0,0,24.76,12.03
"2012-12-11 16:30:00",4,0,0,0,0,-51.33,"NAN","NAN",0.004,0,0,24.75,12.03
"2012-12-11 16:40:00",5,0,0,0,0,-51.33,"NAN","NAN",0.004,0,0,24.62,12.03
"2012-12-11 16:50:00",6,0,0,0,0,-51.33,"NAN","NAN",0.004,0,0,24.49,12.03
"2012-12-11 17:00:00",7,0,0,0,0,-51.33,"NAN","NAN",0.003,0,0,24.38,12.03
"2012-12-11 17:10:00",8,0,0,0,0,-51.33,"NAN","NAN",0.003,0,0,24.28,12.03
"2012-12-11 17:20:00",9,0,0,0,0,-51.33,"NAN","NAN",0.003,0,0,24.19,12.03
"2012-12-11 17:30:00",10,0,0,0,0,-51.33,"NAN","NAN",0.003,0,0,24.12,12.03
"2012-12-11 17:40:00",11,0,0,0,0,-51.33,"NAN","NAN",0.003,0,0,24.05,12.03
"2012-12-11 17:50:00",12,0,0,0,0,-51.33,"NAN","NAN",0.003,0,0,23.99,12.03
"2012-12-11 18:00:00",13,0,0,0,0,-51.33,"NAN","NAN",0.003,0,0,23.93,12.03
"2012-12-11 18:10:00",14,0,0,0,0,-51.33,"NAN","NAN",0.003,0,0,23.88,12.03
"2012-12-11 18:20:00",15,0,0,0,0,-51.33,"NAN","NAN",0.003,0,0,23.83,12.03
"2012-12-11 18:30:00",16,0,0,0,0,-51.33,"NAN","NAN",0.003,0,0,23.8,12.03
"2012-12-11 18:40:00",17,0,0,0,0,-51.33,"NAN","NAN",0.003,0,0,23.76,12.03
"2012-12-11 18:50:00",18,0,0,0,0,-51.33,"NAN","NAN",0.003,0,0,23.73,12.03
"2012-12-11 19:00:00",19,0,0,0,0,-51.33,"NAN","NAN",0.003,0,0,23.71,12.03
"2012-12-11 19:10:00",20,0,0,0,0,-51.33,"NAN","NAN",0.003,0,0,23.69,12.03
"2012-12-11 19:20:00",21,0,0,0,0,-51.33,"NAN","NAN",0.003,0,0,23.68,12.03
"2012-12-11 19:30:00",22,0,0,0,0,-51.33,"NAN","NAN",0.003,0,0,23.68,12.03
"2012-12-11 19:40:00",23,0,0,0,0,-51.33,"NAN","NAN",0.003,0,0,23.67,12.03
"2012-12-11 19:50:00",24,0,0,0,0,-51.33,"NAN","NAN",0.003,0,0,23.66,12.03
"2012-12-11 20:00:00",25,0,0,0,0,-51.33,"NAN","NAN",0.003,0,0,23.65,12.03
"2012-12-11 20:10:00",26,0,0,0,0,-51.33,"NAN","NAN",0.003,0,0,23.65,12.03
"2012-12-11 20:20:00",27,0,0,0,0,-51.33,"NAN","NAN",0.003,0,0,23.64,12.03
"2012-12-11 20:30:00",28,0,0,0,0,-51.33,"NAN","NAN",0.003,0,0,23.63,12.03
"2012-12-11 20:40:00",29,0,0,0,0,-51.33,"NAN","NAN",0.003,0,0,23.62,12.03
"2012-12-11 20:50:00",30,0,0,0,0,-51.33,"NAN","NAN",0.003,0,0,23.62,12.03
"2012-12-11 21:00:00",31,0,0,0,0,-51.33,"NAN","NAN",0.003,0,0,23.61,12.03
"2012-12-11 21:10:00",32,0,0,0,0,-51.33,"NAN","NAN",0.003,0,0,23.6,12.03
"2012-12-11 21:20:00",33,0,0,0,0,-51.33,"NAN","NAN",0.003,0,0,23.6,12.03
"2012-12-11 21:30:00",34,0,0,0,0,-51.33,"NAN","NAN",0.002,0,0,23.59,12.03
"2012-12-11 21:40:00",35,0,0,0,0,-51.33,"NAN","NAN",0.003,0,0,23.59,12.03
"2012-12-11 21:50:00",36,0,0,0,0,-51.33,"NAN","NAN",0.002,0,0,23.58,12.03
"2012-12-11 22:00:00",37,0,0,0,0,-51.33,"NAN","NAN",0.003,0,0,23.58,12.03
"2012-12-11 22:10:00",38,0,0,0,0,-51.33,"NAN","NAN",0.003,0,0,23.62,12.03
"2012-12-11 22:20:00",39,0,0,0,0,-51.33,"NAN","NAN",0.002,0,0,23.71,12.03
"2012-12-11 22:30:00",40,0,0,0,0,-51.33,"NAN","NAN",0.003,0,0,23.8,12.03
"2012-12-11 22:40:00",41,0,0,0,0,-51.33,"NAN","NAN",0.002,0,0,23.82,12.03
"2012-12-11 22:50:00",42,0,0,0,0,-51.33,"NAN","NAN",0.002,0,0,23.83,12.03
"2012-12-11 23:00:00",43,0,0,0,0,-51.33,"NAN","NAN",0.003,0,0,23.83,12.03
"2012-12-11 23:10:00",44,0,0,0,0,-51.33,"NAN","NAN",0.003,0,0,23.83,12.03
"2012-12-11 23:20:00",45,0,0,0,0,-51.33,"NAN","NAN",0.003,0,0,23.82,12.03
"2012-12-11 23:30:00",46,0,0,0,0,-51.33,"NAN","NAN",0.002,0,0,23.8,12.03
